Arolde de Oliveira	PFL	RJ	917	IV	318-5917	318-2917	dep.aroldedeoliveira@camara.gov.br
Aroldo Cedraz	PFL	BA	312	IV	318-5312	318-2312	dep.aroldocedraz@camara.gov.br	 http://www.camara.gov.br/aroldocedraz/
Arthur Virgílio	PSDB	AM	931	IV	318-5931	318-2931	dep.arthurvirgilio@camara.gov.br
Ary Kara	PPB	SP	817	IV	318-5817	318-2817	dep.arykara@camara.gov.br
Átila Lins	PFL	AM	730	IV	318-5730	318-2730	dep.atilalins@camara.gov.br
Átila Lira	PSDB	PI	640	IV	318-5640	318-2640	dep.atilalira@camara.gov.br
Augusto Farias	PPB	AL	229	IV	318-5229	318-2229	dep.augustofarias@camara.gov.br
Augusto Franco	PSDB	SE	421	IV	318-5421	318-2421	dep.augustofranco@camara.gov.br
Augusto Nardes	PPB	RS	530	IV	318-5530	318-2530	dep.augustonardes@camara.gov.br
Avenzoar Arruda	PT	PB	442	IV	318-5442	318-2442	dep.avenzoararruda@camara.gov.br
Ayrton Xerêz	PPS	RJ	533	IV	318-5533	318-2533	dep.ayrtonxerez@camara.gov.br
B. Sá	PSDB	PI	643	IV	318-5643	318-2643	dep.b.sa@camara.gov.br
Babá	PT	PA	480	III	318-5480	318-2480	dep.baba@camara.gov.br
Badu Picanço	PSDB	AP	733	IV	318-5733	318-2733	dep.badupicanco@camara.gov.br
Barbosa Neto	PMDB	GO	736	IV	318-5736	318-2736	dep.barbosaneto@camara.gov.br	http://www.camara.gov.br/barbosaneto
Basílio Villani	PSDB	PR	634	IV	318-5634	318-2634	dep.basiliovillani@camara.gov.br
Benito Gama	PFL	BA	422	IV	318-5422	318-2422	não disponível no momento.
Betinho Rosado	PFL	RN	558	IV	318-5558	318-2558	dep.betinhorosado@camara.gov.br
Bispo Rodrigues	PL	RJ	613	IV	318-5613	318-2613	dep.bisporodrigues@camara.gov.br
Bispo Wanderval	PL	SP	348	IV	318-5348	318-2348	dep.bispowanderval@camara.gov.br
Bonifácio de Andrada	PSDB	MG	235	IV	318-5235	318-2235	dep.bonifaciodeandrada@camara.gov.br	http://www.camara.gov.br/BonifaciodeAndrada
Cabo Júlio	PL	MG	327	IV	318-5327	318-2327	dep.cabojulio@camara.gov.br
Caio Riela	PTB	RS	705	IV	318-5705	318-2705	dep.caioriela@camara.gov.br
Carlito Merss	PT	SC	273	III	318-5273	318-2273	dep.carlitomerss@camara.gov.br	http://www.carlito.com.br
Carlos Batata	PSDB	PE	334	IV	318-5334	318-2334	dep.carlosbatata@camara.gov.br
Carlos Dunga	PMDB	PB	236	IV	318-5236	318-2236	dep.carlosdunga@camara.gov.br
Carlos Mosconi	PSDB	MG	248	IV	318-5248	318-2248	dep.carlosmosconi@camara.gov.br	http://www.camara.gov.br/carlosmosconi
Carlos Santana	PT	RJ	382	III	318-5382	318-2382	dep.carlossantana@camara.gov.br
Celcita Pinheiro	PFL	MT	528	IV	318-5528	318-2528	dep.celcitapinheiro@camara.gov.br
Celso Giglio	PTB	SP	823	IV	318-5823	318-2823	dep.celsogiglio@camara.gov.br	http://www.camara.gov.br/celsogiglio
Celso Russomanno	PPB	SP	756	IV	318-5756	318-2756	dep.celsorussomanno@camara.gov.br
Cesar Bandeira	PFL	MA	502	IV	318-5502	318-2502	dep.cesarbandeira@camara.gov.br
Cezar Schirmer	PMDB	RS	228	IV	318-5228	318-2228	dep.cezarschirmer@camara.gov.br
Chico da Princesa	PSDB	PR	633	IV	318-5633	318-2633	dep.chicodaprincesa@camara.gov.br
Chico Sardelli	PFL	SP	929	IV	318-5929	318-2929	dep.chicosardelli@camara.gov.br
Chiquinho Feitosa	PSDB	CE	708	IV	318-5708	318-2708	dep.chiquinhofeitosa@camara.gov.br
Ciro Nogueira	PFL	PI	619	IV	318-5619	318-2619	dep.cironogueira@camara.gov.br
Claudio Cajado	PFL	BA	630	IV	318-5630	318-2630	dep.claudiocajado@camara.gov.br
Clementino Coelho	PPS	PE	537	IV	318-5537	318-2537	dep.clementinocoelho@camara.gov.br	http://sites.uol.com.br/cscoelho
Cleonâncio Fonseca	PPB	SE	824	IV	318-5824	318-2824	dep.cleonanciofonseca@camara.gov.br
Cleuber Carneiro	PFL	MG	531	IV	318-5531	318-2531	dep.cleubercarneiro@camara.gov.br
Clovis Volpi	PSDB	SP	626	IV	318-5626	318-2626	dep.clovisvolpi@camara.gov.br
Confúcio Moura	PMDB	RO	573	III	318-5573	318-2573	dep.confuciomoura@camara.gov.br	http://www.camara.gov.br/confuciomoura
Corauci Sobrinho	PFL	SP	460	IV	318-5460	318-2460	dep.coraucisobrinho@camara.gov.br	http://www.corauci.etc.br
Coriolano Sales	PMDB	BA	832	IV	318-5832	318-2832	dep.coriolanosales@camara.gov.br
Cornélio Ribeiro	PDT	RJ	714	IV	318-5714	318-2714	dep.cornelioribeiro@camara.gov.br
Costa Ferreira	PFL	MA	852	IV	318-5852	318-2852	dep.costaferreira@camara.gov.br
Cunha Bueno	PPB	SP	520	IV	318-5520	318-2520	dep.cunhabueno@camara.gov.br	http://www.brasilia.com.br/depcb
Custódio Mattos	PSDB	MG	417	IV	318-5417	318-2417	dep.custodiomattos@camara.gov.br
Damião Feliciano	PMDB	PB	716	IV	318-5716	318-2716	dep.damiaofeliciano@camara.gov.br
Danilo de Castro	PSDB	MG	862	IV	318-5862	318-2862	dep.danilodecastro@camara.gov.br
Darcísio Perondi	PMDB	RS	518	IV	318-5518	318-2518	dep.darcisioperondi@camara.gov.br
De Velasco	PSL	SP	354	IV	318-5354	318-2354	dep.develasco@camara.gov.br
Delfim Netto	PPB	SP	511	IV	318-5511	318-2511	dep.delfimnetto@camara.gov.br
Deusdeth Pantoja	PFL	PA	854	IV	318-5854	318-2854	dep.deusdethpantoja@camara.gov.br
Dilceu Sperafico	PPB	PR	746	IV	318-5746	318-2746	dep.dilceusperafico@camara.gov.br	http://www.camara.gov.br/dilceusperafico
Dino Fernandes	PSDB	RJ	544	IV	318-5544	318-2544	dep.dinofernandes@camara.gov.br
Djalma Paes	PSB	PE	915	IV	318-5915	318-2915	dep.djalmapaes@camara.gov.br
Domiciano Cabral	PMDB	PB	605	IV	318-5605	318-2605	dep.domicianocabral@camara.gov.br
Dr. Benedito Dias	PPB	AP	574	III	318-5574	318-2574	dep.dr.beneditodias@camara.gov.br	http://www.camara.gov.br/Dr.BeneditoDias
Dr. Evilásio	PSB	SP	454	IV	318-5454	318-2454	dep.evilasiofarias@camara.gov.br
Dr. Heleno	PSDB	RJ	628	IV	318-5628	318-2628	dep.dr.heleno@camara.gov.br
Dr. Hélio	PDT	SP	734	IV	318-5734	318-2734	dep.dr.helio@camara.gov.br
Dr. Rosinha	PT	PR	474	III	318-5474	318-2474	dep.drrosinha@camara.gov.br	http://www.camara.gov.br/Dr.Rosinha
Duilio Pisaneschi	PTB	SP	940	IV	318-5940	318-2940	dep.duiliopisaneschi@camara.gov.br
Eber Silva	PDT	RJ	435	IV	318-5435	318-2435	dep.ebersilva@camara.gov.br
Edinho Araújo	PPS	SP	323	IV	318-5323	318-2323	dep.edinhoaraujo@camara.gov.br	http://www.camara.gov.br/EdinhoAraujo
Edinho Bez	PMDB	SC	703	IV	318-5703	318-2703	dep.edinhobez@camara.gov.br	http://olcott.stb.org.br/bez/
Edison Andrino	PMDB	SC	639	IV	318-5639	318-2639	dep.edisonandrino@camara.gov.br	http://www.andrino.com.br
Edmar Moreira	PPB	MG	606	IV	318-5606	318-2606	dep.edmarmoreira@camara.gov.br
Eduardo Barbosa	PSDB	MG	540	IV	318-5540	318-2540	dep.eduardobarbosa@camara.gov.br
Eduardo Campos	PSB	PE	846	IV	318-5846	318-2846	dep.eduardocampos@camara.gov.br	http://www.eduardocampos.org.br
Eduardo Jorge	PT	SP	371	III	318-5371	318-2371	dep.eduardojorge@camara.gov.br
Eduardo Paes	PTB	RJ	742	IV	318-5742	318-2742	dep.eduardopaes@camara.gov.br
Eduardo Seabra	PTB	AP	303	IV	318-5303	318-2303	dep.eduardoseabra@camara.gov.br
Efraim Morais	PFL	PB	638	IV	318-5638	318-2638	dep.efraimmorais@camara.gov.br
Elcione Barbalho	PMDB	PA	919	IV	318-5919	318-2919	dep.elcionebarbalho@camara.gov.br
Eliseu Moura	PPB	MA	217	IV	318-5217	318-2217	dep.eliseumoura@camara.gov.br
Eliseu Resende	PFL	MG	204	IV	318-5204	318-2204	dep.eliseuresende@camara.gov.br
Emerson Kapaz	PPS	SP	222	IV	318-5222	318-2222	dep.emersonkapaz@camara.gov.br	http://www.kapaz.com.br
Eni Voltolini	PPB	SC	718	IV	318-5718	318-2718	dep.enivoltolini@camara.gov.br
Enio Bacci	PDT	RS	930	IV	318-5930	318-2930	dep.eniobacci@camara.gov.br
Enivaldo Ribeiro	PPB	PB	840	IV	318-5840	318-2840	dep.enivaldoribeiro@camara.gov.br
Esther Grossi	PT	RS	952	IV	318-5952	318-2952	dep.esthergrossi@camara.gov.br
Eujácio Simões	PL	BA	569	III	318-5569	318-2569	dep.eujaciosimoes@camara.gov.br
Euler Morais	PMDB	GO	803	IV	318-5803	318-2803	dep.eulermorais@camara.gov.br
Euler Ribeiro	PFL	AM	515	IV	318-5515	318-2515	dep.eulerribeiro@camara.gov.br
Eunício Oliveira	PMDB	CE	441	IV	318-5441	318-2441	dep.euniciooliveira@camara.gov.br
Eurico Miranda	PPB	RJ	420	IV	318-5420	318-2420	dep.euricomiranda@camara.gov.br
Eurípedes Miranda	PDT	RO	252	IV	318-5252	318-2252	dep.euripedesmiranda@camara.gov.br	http://www.camara.gov.br/EuripedesMiranda
Evandro Milhomen	PSB	AP	571	III	318-5571	318-2571	dep.evandromilhomen@camara.gov.br	http://www.camara.gov.br/evandromilhomen
Expedito Júnior	PFL	RO	240	IV	318-5240	318-2240	dep.expeditojunior@camara.gov.br
Fátima Pelaes	PSDB	AP	203	IV	318-5203	318-2203	dep.fatimapelaes@camara.gov.br	http://www.camara.gov.br/pelaes
Félix Mendonça	PTB	BA	912	IV	318-5912	318-2912	dep.felixmendonca@camara.gov.br
Fernando Coruja	PDT	SC	245	IV	318-5245	318-2245	dep.fernandocoruja@camara.gov.br
Fernando Diniz	PMDB	MG	307	IV	318-5307	318-2307	dep.fernandodiniz@camara.gov.br
Fernando Ferro	PT	PE	427	IV	318-5427	318-2427	dep.fernandoferro@camara.gov.br
Fernando Gabeira	PV	RJ	374	III	318-5374	318-2374	dep.fernandogabeira@camara.gov.br	http://www.gabeira.com.br
Fernando Gonçalves	PTB	RJ	256	IV	318-5256	318-2256	dep.fernandogoncalves@camara.gov.br
Fernando Marroni	PT	RS	585	III	318-5585	318-2585	dep.fernandomarroni@camara.gov.br
Fernando Zuppo	PDT	SP	743	IV	318-5743	318-2743	dep.fernandozuppo@camara.gov.br
Fetter Júnior	PPB	RS	316	IV	318-5316	318-2316	dep.fetterjunior@camara.gov.br
Feu Rosa	PSDB	ES	960	IV	318-5960	318-2960	dep.feurosa@camara.gov.br
Flávio Arns	PSDB	PR	850	IV	318-5850	318-2850	dep.flavioarns@camara.gov.br
Flávio Derzi	PMDB	MS	934	IV	318-5934	318-2934	dep.flavioderzi@camara.gov.br
Francisco Coelho	PFL	MA	525	IV	318-5525	318-2525	dep.franciscocoelho@camara.gov.br
Francisco Garcia	PFL	AM	839	IV	318-5839	318-2839	dep.franciscogarcia@camara.gov.br
Francisco Rodrigues	PFL	RR	304	IV	318-5304	318-2304	dep.franciscorodrigues@camara.gov.br
Francisco Silva	PST	RJ	512	IV	318-5512	318-2512	dep.franciscosilva@camara.gov.br	http://www.melodia.com.br
Francistônio Pinto	PFL	BA	830	IV	318-5830	318-2830	dep.francistoniopinto@camara.gov.br
Freire Júnior	PMDB	TO	601	IV	318-5601	318-2601	dep.freirejunior@camara.gov.br
Gastão Vieira	PMDB	MA	554	IV	318-5554	318-2554	dep.gastaovieira@camara.gov.br
Geddel Vieira Lima	PMDB	BA	612	IV	318-5612	318-2612	dep.geddelvieiralima@camara.gov.br
Geovan Freitas	PMDB	GO	580	III	318-5580	318-2580	dep.geovanfreitas@camara.gov.br
Geraldo Magela	PT	DF	479	III	318-5479	318-2479	dep.geraldomagela@camara.gov.br
Geraldo Simões	PT	BA	954	IV	318-5954	318-2954	dep.geraldosimoes@camara.gov.br
Germano Rigotto	PMDB	RS	838	IV	318-5838	318-2838	dep.germanorigotto@camara.gov.br	http://www.germanorigotto.com.br
Gerson Gabrielli	PFL	BA	439	IV	318-5439	318-2439	dep.gersongabrielli@camara.gov.br
Gerson Peres	PPB	PA	330	IV	318-5330	318-2330	dep.gersonperes@camara.gov.br	http://www.camara.gov.br/gersonperes
Gervásio Silva	PFL	SC	418	IV	318-5418	318-2418	dep.gervasiosilva@camara.gov.br	http://www.camara.gov.br/gervasiosilva
Gessivaldo Isaias	PMDB	PI	811	IV	318-5811	318-2811	dep.gessivaldoisaias@camara.gov.br
Gilberto Kassab	PFL	SP	828	IV	318-5828	318-2828	dep.gilbertokassab@camara.gov.br
Gilmar Machado	PT	MG	587	III	318-5587	318-2587	dep.gilmarmachado@camara.gov.br
Giovanni Queiroz	PDT	PA	534	IV	318-5534	318-2534	dep.giovanniqueiroz@camara.gov.br
Givaldo Carimbão	PSB	AL	732	IV	318-5732	318-2732	dep.givaldocarimbao@camara.gov.br
Glycon Terra Pinto	PMDB	MG	329	IV	318-5329	318-2329	dep.glyconterrapinto@camara.gov.br
Gonzaga Patriota	PSB	PE	430	IV	318-5430	318-2430	dep.gonzagapatriota@camara.gov.br
Gustavo Fruet	PMDB	PR	821	IV	318-5821	318-2821	dep.gustavofruet@camara.gov.br
Haroldo Lima	PCdoB	BA	456	IV	318-5456	318-2456	dep.haroldolima@camara.gov.br
Helenildo Ribeiro	PSDB	AL	575	III	318-5575	318-2575	dep.helenildoribeiro@camara.gov.br
Hélio Costa	PMDB	MG	206	IV	318-5206	318-2206	dep.heliocosta@camara.gov.br
Henrique Eduardo Alves	PMDB	RN	539	IV	318-5539	318-2539	dep.henriqueeduardoalves@camara.gov.br
Henrique Fontana	PT	RS	385	III	318-5385	318-2385	dep.henriquefontana@camara.gov.br
Heráclito Fortes	PFL	PI	414	IV	318-5414	318-2414	dep.heraclitofortes@camara.gov.br
Herculano Anghinetti	PPB	MG	241	IV	318-5241	318-2241	dep.herculanoanghinetti@camara.gov.br
Hermes Parcianello	PMDB	PR	234	IV	318-5234	318-2234	dep.hermesparcianello@camara.gov.br	http://www.camara.gov.br/hermesparcianello
Hugo Biehl	PPB	SC	332	IV	318-5332	318-2332	dep.hugobiehl@camara.gov.br
Iara Bernardi	PT	SP	360	IV	318-5360	318-2360	dep.iarabernardi@camara.gov.br
Iberê Ferreira	PPB	RN	609	IV	318-5609	318-2609	dep.ibereferreira@camara.gov.br
Ibrahim Abi-Ackel	PPB	MG	319	IV	318-5319	318-2319	dep.ibrahimabi-ackel@camara.gov.br
Iédio Rosa	PMDB	RJ	266	III	318-5266	318-2266	dep.iediorosa@camara.gov.br
Igor Avelino	PMDB	TO	466	III	318-5466	318-2466	dep.igoravelino@camara.gov.br
Ildefonço Cordeiro	PFL	AC	231	IV	318-5231	318-2231	dep.ildefoncocordeiro@camara.gov.br
Inácio Arruda	PCdoB	CE	582	III	318-5582	318-2582	dep.inacioarruda@camara.gov.br	http://www.camara.gov.br/inacioarruda
Inaldo Leitão	PSDB	PB	938	IV	318-5938	318-2938	dep.inaldoleitao@camara.gov.br
Inocêncio Oliveira	PFL	PE	928	IV	318-5928	318-2928	dep.inocenciooliveira@camara.gov.br	http://www.camara.gov.br/inocenciooliveira/
Iris Simões	PTB	PR	948	IV	318-5948	318-2948	dep.irissimoes@camara.gov.br
Itamar Serpa	PSDB	RJ	432	IV	318-5432	318-2432	dep.itamarserpa@camara.gov.br	http://www.rudah.com.br/~itamar
Ivan Paixão	PPS	SE	216	IV	318-5216	318-2216	dep.ivanpaixao@camara.gov.br	http://www.ivanpaixaopps.com.br
Ivanio Guerra	PFL	PR	428	IV	318-5428	318-2428	dep.ivanioguerra@camara.gov.br
Jaime Fernandes	PFL	BA	906	IV	318-5906	318-2906	dep.jaimefernandes@camara.gov.br
Jaime Martins	PFL	MG	333	IV	318-5333	318-2333	dep.jaimemartins@camara.gov.br
Jair Bolsonaro	PPB	RJ	482	III	318-5482	318-2482	dep.jairbolsonaro@camara.gov.br	http://www.camara.gov.br/bolsonaro
Jair Meneguelli	PT	SP	358	IV	318-5358	318-2358	dep.jairmeneguelli@camara.gov.br	http://www.camara.gov.br/jairmeneguelli
Jairo Carneiro	PFL	BA	284	III	318-5284	318-2284	dep.jairocarneiro@camara.gov.br
Jandira Feghali	PCdoB	RJ	443	IV	318-5443	318-2443	dep.jandirafeghali@camara.gov.br	http://www.camara.gov.br/JandiraFeghali
Jaques Wagner	PT	BA	469	III	318-5469	318-2469	dep.jaqueswagner@camara.gov.br	http://www.camara.gov.br/JaquesWagner
João Almeida	PSDB	BA	652	IV	318-5652	318-2652	dep.joaoalmeida@camara.gov.br
João Caldas	PL	AL	501	IV	318-5501	318-2501	dep.joaocaldas@camara.gov.br
João Carlos Bacelar	PFL	BA	760	IV	318-5760	318-2760	não disponível no momento.
João Castelo	PSDB	MA	654	IV	318-5654	318-2654	dep.joaocastelo@camara.gov.br
João Colaço	PMDB	PE	419	IV	318-5419	318-2419	dep.joaocolaco@camara.gov.br
João Coser	PT	ES	514	IV	318-5514	318-2514	dep.joaocoser@camara.gov.br
João Fassarella	PT	MG	283	III	318-5283	318-2283	dep.joaofassarella@camara.gov.br	http://www.camara.gov.br/joaofassarella
João Grandão	PT	MS	484	III	318-5484	318-2484	dep.joaograndao@camara.gov.br	http://www.camara.gov.br/joaograndao
João Henrique	PMDB	PI	617	IV	318-5617	318-2617	dep.joaohenrique@camara.gov.br
João Herrmann Neto	PPS	SP	637	IV	318-5637	318-2637	dep.joaoherrmannneto@camara.gov.br
João Leão	PSDB	BA	320	IV	318-5320	318-2320	dep.joaoleao@camara.gov.br
João Magalhães	PMDB	MG	211	IV	318-5211	318-2211	dep.joaomagalhaes@camara.gov.br
João Matos	PMDB	SC	672	III	318-5672	318-2672	dep.joaomatos@camara.gov.br
João Mendes	PMDB	RJ	831	IV	318-5831	318-2831	dep.joaomendes@camara.gov.br	http://www.camara.gov.br/joaomendes
João Paulo	PT	SP	579	III	318-5579	318-2579	dep.joaopaulo@camara.gov.br
João Pizzolatti	PPB	SC	258	IV	318-5258	318-2258	dep.joaopizzolatti@camara.gov.br
João Ribeiro	PFL	TO	339	IV	318-5339	318-2339	dep.joaoribeiro@camara.gov.br
João Sampaio	PDT	RJ	944	IV	318-5944	318-2944	dep.joaosampaio@camara.gov.br
João Tota	PPB	AC	244	IV	318-5244	318-2244	dep.joaotota@camara.gov.br
Joaquim Francisco	PFL	PE	425	IV	318-5425	318-2425	dep.joaquimfrancisco@camara.gov.br
Joel de Hollanda	PFL	PE	408	IV	318-5408	318-2408	dep.joeldehollanda@camara.gov.br
Jonival Lucas Junior	PFL	BA	815	IV	318-5815	318-2815	dep.jonivallucasjunior@camara.gov.br
Jorge Alberto	PMDB	SE	723	IV	318-5723	318-2723	dep.jorgealberto@camara.gov.br	http://www.camara.gov.br/jorgealberto
Jorge Bittar	PT	RJ	565	III	318-5565	318-2565	dep.jorgebittar@camara.gov.br
Jorge Costa	PMDB	PA	410	IV	318-5410	318-2410	dep.jorgecosta@camara.gov.br	http://www.camara.gov.br/jorgecosta
Jorge Khoury	PFL	BA	827	IV	318-5827	318-2827	dep.jorgekhoury@camara.gov.br
Jorge Pinheiro	PMDB	DF	837	IV	318-5837	318-2837	dep.jorgepinheiro@camara.gov.br
Jorge Tadeu Mudalen	PMDB	SP	552	IV	318-5552	318-2552	dep.jorgetadeumudalen@camara.gov.br
Jorge Wilson	PMDB	RJ	942	IV	318-5942	318-2942	dep.jorgewilson@camara.gov.br
José Aleksandro	PSL	AC	262	IV	318-5262	318-2262	dep.josealeksandro@camara.gov.br
José Antonio Almeida	PSB	MA	710	IV	318-5710	318-2710	dep.joseantonio@camara.gov.br
José Borba	PMDB	PR	616	IV	318-5616	318-2616	dep.joseborba@camara.gov.br
José Carlos Aleluia	PFL	BA	856	IV	318-5856	318-2856	dep.josecarlosaleluia@camara.gov.br
José Carlos Coutinho	PFL	RJ	843	IV	318-5843	318-2843	dep.josecarloscoutinho@camara.gov.br
José Carlos Elias	PTB	ES	230	IV	318-5230	318-2230	dep.josecarloselias@camara.gov.br
José Carlos Martinez	PTB	PR	513	IV	318-5513	318-2513	dep.josecarlosmartinez@camara.gov.br
José Chaves	PMDB	PE	436	IV	318-5436	318-2436	dep.josechaves@camara.gov.br
José de Abreu	PTN	SP	331	IV	318-5331	318-2331	dep.josedeabreu@camara.gov.br
José Dirceu	PT	SP	627	IV	318-5627	318-2627	dep.josedirceu@camara.gov.br	http://www.josedirceu.org.br
José Genoíno	PT	SP	270	III	318-5270	318-2270	dep.josegenoino@camara.gov.br	http://www.genoino.org
José Índio	PMDB	SP	344	IV	318-5344	318-2344	dep.zeindio@camara.gov.br
José Janene	PPB	PR	608	IV	318-5608	318-2608	dep.josejanene@camara.gov.br
José Linhares	PPB	CE	860	IV	318-5860	318-2860	dep.joselinhares@camara.gov.br
José Lourenço	PFL	BA	313	IV	318-5313	318-2313	dep.joselourenco@camara.gov.br
José Machado	PT	SP	276	III	318-5276	318-2276	dep.josemachado@camara.gov.br
José Mendonça Bezerra	PFL	PE	314	IV	318-5314	318-2314	dep.josemendoncabezerra@camara.gov.br
José Militão	PSDB	MG	402	IV	318-5402	318-2402	dep.josemilitao@camara.gov.br
José Múcio Monteiro	PFL	PE	458	IV	318-5458	318-2458	dep.josemuciomonteiro@camara.gov.br
José Pimentel	PT	CE	281	III	318-5281	318-2281	dep.josepimentel@camara.gov.br
José Priante	PMDB	PA	752	IV	318-5752	318-2752	dep.josepriante@camara.gov.br
José Roberto Batochio	PDT	SP	728	IV	318-5728	318-2728	dep.robertobatochio@camara.gov.br
José Rocha	PFL	BA	908	IV	318-5908	318-2908	dep.joserocha@camara.gov.br
José Ronaldo	PFL	BA	472	III	318-5472	318-2472	dep.joseronaldo@camara.gov.br
José Teles	PSDB	SE	438	IV	318-5438	318-2438	dep.joseteles@camara.gov.br
José Thomaz Nonô	PFL	AL	812	IV	318-5812	318-2812	dep.josethomaznono@camara.gov.br
Josué Bengtson	PTB	PA	584	III	318-5584	318-2584	dep.josuebengtson@camara.gov.br
